v8-version,5,8,283,41,0
code-creation,Stub,16,0xf847cb35600,391,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb357a0,141,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb35840,216,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb35920,2266,"RecordWriteStub"
code-creation,Stub,16,0xf847cb36200,395,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb363a0,183,"DoubleToIStub"
code-creation,Stub,3,0xf847cb36460,183,"DoubleToIStub"
code-creation,Stub,16,0xf847cb36520,395,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb366c0,141,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb36760,276,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb36880,2265,"RecordWriteStub"
code-creation,Stub,16,0xf847cb37160,141,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb37200,2292,"RecordWriteStub"
code-creation,Stub,16,0xf847cb37b00,196,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb37be0,365,"CEntryStub"
code-creation,Stub,16,0xf847cb37d60,196,"BinaryOpICStub"
code-creation,Stub,18,0xf847cb37e40,140,"ToBooleanICStub"
code-creation,Stub,3,0xf847cb37ee0,2266,"RecordWriteStub"
code-creation,Stub,3,0xf847cb387c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0xf847cb38900,2311,"RecordWriteStub"
code-creation,Stub,3,0xf847cb39220,2254,"RecordWriteStub"
code-creation,Stub,3,0xf847cb39b00,2242,"RecordWriteStub"
code-creation,Stub,16,0xf847cb3a3e0,240,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb3a4e0,2254,"RecordWriteStub"
code-creation,Stub,16,0xf847cb3adc0,196,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb3aea0,2296,"RecordWriteStub"
code-creation,Stub,3,0xf847cb3b7a0,117,"StubFailureTrampolineStub"
code-creation,Stub,3,0xf847cb3b820,2307,"RecordWriteStub"
code-creation,Stub,16,0xf847cb3c140,208,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb3c220,2314,"RecordWriteStub"
code-creation,Stub,3,0xf847cb3cb40,2272,"RecordWriteStub"
code-creation,Stub,3,0xf847cb3d420,404,"CEntryStub"
code-creation,Stub,16,0xf847cb3d5c0,268,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb3d6e0,2296,"RecordWriteStub"
code-creation,Stub,16,0xf847cb3dfe0,272,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb3e100,423,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb3e2c0,183,"DoubleToIStub"
code-creation,Stub,3,0xf847cb3e380,2241,"RecordWriteStub"
code-creation,Stub,3,0xf847cb3ec60,2257,"RecordWriteStub"
code-creation,Stub,3,0xf847cb3f540,375,"NumberToStringStub"
code-creation,Stub,16,0xf847cb3f6c0,272,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb3f7e0,2266,"RecordWriteStub"
code-creation,Stub,3,0xf847cb400c0,2272,"RecordWriteStub"
